epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
36,18619.2,1.57639,2.94935,1.42872,1.37602,0,0.53442,0.50248,0.46947,0.30982,0.52776,0.47097,0.43505,0.261,1.92763,3.31168,1.99739,1.605,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,19152.2,1.57991,2.94596,1.42778,1.3777,0,0.53964,0.50472,0.46857,0.3077,0.52346,0.47547,0.43002,0.25418,1.92477,3.30979,1.99554,1.60442,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19678.9,1.57207,2.94504,1.42373,1.37467,0,0.53489,0.50579,0.47212,0.31048,0.51475,0.4745,0.43604,0.25813,1.92179,3.30653,1.98768,1.6053,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,20218.1,1.57406,2.94775,1.41845,1.37317,0,0.55227,0.51083,0.48962,0.32296,0.54196,0.47361,0.44898,0.26833,1.91555,3.29729,1.97163,1.60376,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,20739.1,1.56409,2.92574,1.40572,1.36488,0,0.54729,0.51401,0.48746,0.32311,0.52954,0.48103,0.44959,0.26924,1.91718,3.29531,1.97856,1.60053,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,21259.8,1.56545,2.93089,1.40932,1.36803,0,0.53277,0.51338,0.48291,0.32106,0.52558,0.48253,0.45195,0.26913,1.91757,3.29083,1.97698,1.6024,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,21784.6,1.56161,2.92471,1.404,1.36627,0,0.53291,0.52077,0.48434,0.32186,0.52395,0.48831,0.45179,0.26935,1.91428,3.28822,1.97577,1.59727,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,22283.5,1.5602,2.925,1.40479,1.3662,0,0.53062,0.50909,0.47929,0.31871,0.52304,0.48279,0.44819,0.26493,1.91563,3.29146,1.97548,1.59834,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,22792.9,1.56721,2.93244,1.40854,1.36708,0,0.53319,0.51166,0.48291,0.32015,0.51322,0.49067,0.4485,0.26766,1.91253,3.28588,1.96758,1.59691,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,23299.3,1.55981,2.92824,1.4041,1.36534,0,0.53701,0.51323,0.48225,0.31816,0.52071,0.48669,0.44733,0.26455,1.91614,3.29139,1.97444,1.59841,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,23803.6,1.55166,2.91625,1.39576,1.36008,0,0.54586,0.50832,0.48222,0.31555,0.52462,0.48207,0.44471,0.26136,1.91545,3.29398,1.97374,1.59732,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,24311.2,1.54752,2.9097,1.3904,1.35663,0,0.55654,0.50324,0.4811,0.31428,0.54264,0.4703,0.44148,0.25983,1.91485,3.29238,1.97164,1.59658,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,24813.4,1.54702,2.91163,1.39508,1.3596,0,0.53572,0.51144,0.48253,0.31647,0.53157,0.4801,0.44444,0.26182,1.91498,3.29137,1.97246,1.59662,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,25322.7,1.53981,2.90063,1.38194,1.35306,0,0.54781,0.51394,0.4839,0.31867,0.53368,0.48195,0.44907,0.263,1.91376,3.28901,1.97035,1.59634,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,25825.1,1.54676,2.90673,1.38437,1.35554,0,0.54789,0.51147,0.48314,0.31689,0.53639,0.48297,0.44745,0.26265,1.91334,3.28903,1.97221,1.59568,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,26333.6,1.54528,2.90175,1.38383,1.35477,0,0.55085,0.50779,0.48403,0.31735,0.53054,0.48506,0.44848,0.26349,1.9139,3.28906,1.97061,1.5956,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,26838,1.54163,2.9074,1.38479,1.3536,0,0.54598,0.51245,0.48426,0.31745,0.53048,0.48723,0.44909,0.26361,1.91283,3.2874,1.97136,1.5955,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,27345.5,1.53698,2.89261,1.37825,1.35225,0,0.54332,0.51254,0.48416,0.31771,0.52461,0.48686,0.44912,0.26458,1.91218,3.28867,1.97186,1.59578,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,27848.8,1.5334,2.89296,1.37206,1.34841,0,0.54049,0.5165,0.48466,0.31852,0.52565,0.48781,0.44956,0.26474,1.91204,3.289,1.97133,1.59568,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,28350.3,1.53404,2.89466,1.37577,1.34893,0,0.53671,0.51709,0.48405,0.31835,0.53052,0.4848,0.44936,0.26503,1.91172,3.28913,1.97022,1.59573,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,28857,1.53048,2.88698,1.36712,1.3467,0,0.55433,0.50594,0.48426,0.31931,0.53307,0.48503,0.44916,0.26577,1.91077,3.28781,1.96916,1.59562,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,29375.7,1.52949,2.88715,1.37059,1.34533,0,0.54864,0.50931,0.48503,0.31931,0.53499,0.48497,0.44964,0.26699,1.91039,3.28778,1.96908,1.59464,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,29895.9,1.52765,2.88409,1.36295,1.3438,0,0.55594,0.50576,0.48528,0.31938,0.54002,0.48056,0.44956,0.26664,1.91025,3.2874,1.96941,1.59397,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,30403.1,1.51685,2.8697,1.35628,1.3376,0,0.55732,0.50608,0.48494,0.31902,0.54056,0.47933,0.4483,0.26655,1.91037,3.28783,1.96848,1.59432,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,30908.5,1.51687,2.87129,1.35668,1.33856,0,0.56475,0.50423,0.48574,0.31913,0.54604,0.4799,0.4491,0.26635,1.91039,3.28774,1.96775,1.59417,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
